shipment_id,order_id,customer_key,time_key,carrier,shipped_at,delivered_at
9000000021,1000000021,1110,633.0,Correo Argentino,2025-09-24 22:05:51,2025-09-26 22:05:51
9000000022,1000000022,854,91.0,PICKUP,2024-03-31 02:16:34,2024-04-01 02:16:34
9000000023,1000000023,379,552.0,PICKUP,2025-07-05 19:42:57,2025-07-06 19:42:57
9000000024,1000000024,441,427.0,PICKUP,2025-03-02 15:57:05,2025-03-03 15:57:05
9000000025,1000000025,125,605.0,Correo Argentino,2025-08-27 06:57:45,2025-08-31 06:57:45
9000000026,1000000026,1201,348.0,Correo Argentino,2024-12-13 23:59:48,2024-12-16 23:59:48
9000000027,1000000027,1055,338.0,Correo Argentino,2024-12-03 01:44:59,2024-12-06 01:44:59
9000000028,1000000028,382,139.0,Correo Argentino,2024-05-18 06:11:07,2024-05-22 06:11:07
9000000029,1000000029,1456,624.0,Correo Argentino,2025-09-15 02:43:49,2025-09-20 02:43:49
9000000030,1000000030,1377,526.0,PICKUP,2025-06-09 19:02:55,2025-06-10 19:02:55
9000000031,1000000031,1375,496.0,PICKUP,2025-05-10 11:15:07,2025-05-11 11:15:07
9000000032,1000000032,821,441.0,Correo Argentino,2025-03-16 14:37:22,2025-03-18 14:37:22
9000000033,1000000033,1475,160.0,PICKUP,2024-06-08 03:23:04,2024-06-09 03:23:04
9000000034,1000000034,634,322.0,PICKUP,2024-11-17 01:24:31,2024-11-18 01:24:31
9000000035,1000000035,585,12.0,PICKUP,2024-01-12 05:54:27,2024-01-13 05:54:27
9000000036,1000000036,180,269.0,Correo Argentino,2024-09-25 18:59:17,2024-09-28 18:59:17
9000000037,1000000037,482,27.0,Correo Argentino,2024-01-27 00:07:55,2024-01-31 00:07:55
9000000038,1000000038,620,33.0,PICKUP,2024-02-02 22:29:21,2024-02-03 22:29:21
9000000039,1000000039,603,144.0,PICKUP,2024-05-23 04:42:33,2024-05-24 04:42:33
9000000040,1000000040,1028,,Correo Argentino,,
9000000041,1000000041,1005,14.0,PICKUP,2024-01-14 09:59:03,2024-01-15 09:59:03
9000000042,1000000042,790,272.0,Correo Argentino,2024-09-28 21:17:36,2024-09-30 21:17:36
9000000043,1000000043,665,143.0,Correo Argentino,2024-05-22 10:46:11,2024-05-27 10:46:11
9000000044,1000000044,562,612.0,Correo Argentino,2025-09-03 12:32:15,2025-09-05 12:32:15
9000000045,1000000045,998,33.0,Correo Argentino,2024-02-02 13:14:28,2024-02-07 13:14:28
9000000046,1000000046,276,13.0,Correo Argentino,2024-01-13 03:01:18,2024-01-17 03:01:18
9000000047,1000000047,1469,68.0,PICKUP,2024-03-08 08:53:37,2024-03-09 08:53:37
9000000048,1000000048,408,257.0,PICKUP,2024-09-13 16:10:57,2024-09-14 16:10:57
9000000049,1000000049,1360,224.0,PICKUP,2024-08-11 19:35:54,2024-08-12 19:35:54
9000000050,1000000050,1423,208.0,Correo Argentino,2024-07-26 00:25:00,2024-07-30 00:25:00
9000000051,1000000051,741,260.0,Correo Argentino,2024-09-16 06:10:33,2024-09-19 06:10:33
9000000052,1000000052,969,310.0,Correo Argentino,2024-11-05 03:12:44,2024-11-07 03:12:44
9000000053,1000000053,729,,Correo Argentino,,
9000000054,1000000054,251,76.0,PICKUP,2024-03-16 02:19:59,2024-03-17 02:19:59
9000000055,1000000055,1087,570.0,PICKUP,2025-07-23 20:26:45,2025-07-24 20:26:45
9000000056,1000000056,659,469.0,Correo Argentino,2025-04-13 15:37:15,2025-04-16 15:37:15
9000000057,1000000057,338,418.0,PICKUP,2025-02-21 05:51:12,2025-02-22 05:51:12
9000000058,1000000058,1068,,Correo Argentino,,
9000000059,1000000059,958,184.0,Correo Argentino,2024-07-02 13:26:37,2024-07-07 13:26:37
9000000060,1000000060,428,,PICKUP,,
9000000061,1000000061,1337,427.0,Correo Argentino,2025-03-02 10:20:56,2025-03-05 10:20:56
9000000062,1000000062,1442,358.0,PICKUP,2024-12-23 12:02:28,2024-12-24 12:02:28
9000000063,1000000063,939,152.0,Correo Argentino,2024-05-31 10:17:58,2024-06-02 10:17:58
9000000064,1000000064,1409,430.0,Correo Argentino,2025-03-05 14:45:27,2025-03-07 14:45:27
9000000065,1000000065,1062,262.0,Correo Argentino,2024-09-18 00:43:41,2024-09-22 00:43:41
9000000066,1000000066,988,,Correo Argentino,,
9000000067,1000000067,778,468.0,Correo Argentino,2025-04-12 16:23:15,2025-04-17 16:23:15
9000000068,1000000068,77,337.0,Correo Argentino,2024-12-02 10:53:38,2024-12-05 10:53:38
9000000069,1000000069,700,165.0,Correo Argentino,2024-06-13 09:38:45,2024-06-18 09:38:45
9000000070,1000000070,425,573.0,Correo Argentino,2025-07-26 23:51:05,2025-07-30 23:51:05
9000000071,1000000071,1271,204.0,PICKUP,2024-07-22 18:00:06,2024-07-23 18:00:06
9000000072,1000000072,1129,34.0,Correo Argentino,2024-02-03 08:20:17,2024-02-08 08:20:17
9000000073,1000000073,1224,343.0,Correo Argentino,2024-12-08 21:18:19,2024-12-11 21:18:19
9000000074,1000000074,446,350.0,Correo Argentino,2024-12-15 04:41:02,2024-12-21 04:41:02
9000000075,1000000075,867,448.0,Correo Argentino,2025-03-23 18:16:20,2025-03-27 18:16:20
9000000076,1000000076,127,62.0,Correo Argentino,2024-03-02 10:21:11,2024-03-04 10:21:11
9000000077,1000000077,874,339.0,PICKUP,2024-12-04 22:39:17,2024-12-05 22:39:17
9000000078,1000000078,814,376.0,Correo Argentino,2025-01-10 21:43:22,2025-01-13 21:43:22
9000000079,1000000079,1189,626.0,Correo Argentino,2025-09-17 02:56:19,2025-09-21 02:56:19
9000000080,1000000080,584,317.0,Correo Argentino,2024-11-12 06:28:22,2024-11-17 06:28:22
9000000081,1000000081,1433,400.0,Correo Argentino,2025-02-03 01:45:35,2025-02-06 01:45:35
9000000082,1000000082,670,631.0,Correo Argentino,2025-09-22 10:27:35,2025-09-25 10:27:35
9000000083,1000000083,464,42.0,Correo Argentino,2024-02-11 17:47:09,2024-02-15 17:47:09
9000000084,1000000084,535,331.0,Correo Argentino,2024-11-26 14:26:24,2024-11-29 14:26:24
9000000085,1000000085,655,427.0,Correo Argentino,2025-03-02 02:58:24,2025-03-04 02:58:24
9000000086,1000000086,833,597.0,Correo Argentino,2025-08-19 10:52:28,2025-08-21 10:52:28
9000000087,1000000087,490,,Correo Argentino,,
9000000088,1000000088,360,35.0,Correo Argentino,2024-02-04 13:58:21,2024-02-09 13:58:21
9000000089,1000000089,1227,536.0,Correo Argentino,2025-06-19 12:09:30,2025-06-22 12:09:30
9000000090,1000000090,624,28.0,Correo Argentino,2024-01-28 19:31:23,2024-02-01 19:31:23
9000000091,1000000091,228,49.0,Correo Argentino,2024-02-18 18:12:47,2024-02-20 18:12:47
9000000092,1000000092,770,166.0,Correo Argentino,2024-06-14 13:46:23,2024-06-16 13:46:23
9000000093,1000000093,54,319.0,PICKUP,2024-11-14 23:26:31,2024-11-15 23:26:31
9000000094,1000000094,1006,362.0,PICKUP,2024-12-27 03:05:36,2024-12-28 03:05:36
9000000095,1000000095,247,635.0,Correo Argentino,2025-09-26 18:29:43,2025-09-30 18:29:43
9000000096,1000000096,1127,509.0,PICKUP,2025-05-23 10:43:41,2025-05-24 10:43:41
9000000097,1000000097,757,164.0,PICKUP,2024-06-12 17:56:54,2024-06-13 17:56:54
9000000098,1000000098,520,383.0,Correo Argentino,2025-01-17 08:09:07,2025-01-22 08:09:07
9000000099,1000000099,258,59.0,Correo Argentino,2024-02-28 14:31:08,2024-03-03 14:31:08
9000000100,1000000100,467,,Correo Argentino,,
9000000101,1000000101,3,91.0,Correo Argentino,2024-03-31 02:45:40,2024-04-05 02:45:40
9000000102,1000000102,334,325.0,Correo Argentino,2024-11-20 07:00:43,2024-11-24 07:00:43
9000000103,1000000103,802,85.0,PICKUP,2024-03-25 03:53:52,2024-03-26 03:53:52
9000000104,1000000104,999,84.0,Correo Argentino,2024-03-24 20:55:17,2024-03-28 20:55:17
9000000105,1000000105,176,134.0,Correo Argentino,2024-05-13 04:27:32,2024-05-16 04:27:32
9000000106,1000000106,801,406.0,Correo Argentino,2025-02-09 08:09:53,2025-02-11 08:09:53
9000000107,1000000107,1113,144.0,Correo Argentino,2024-05-23 03:56:26,2024-05-28 03:56:26
9000000108,1000000108,810,551.0,PICKUP,2025-07-04 04:11:46,2025-07-05 04:11:46
9000000109,1000000109,581,113.0,PICKUP,2024-04-22 08:18:05,2024-04-23 08:18:05
9000000110,1000000110,1284,,PICKUP,,
9000000111,1000000111,1333,356.0,Correo Argentino,2024-12-21 15:47:41,2024-12-25 15:47:41
9000000112,1000000112,24,425.0,PICKUP,2025-02-28 17:43:31,2025-03-01 17:43:31
9000000113,1000000113,1222,,PICKUP,,
9000000114,1000000114,63,261.0,PICKUP,2024-09-17 08:06:28,2024-09-18 08:06:28
9000000115,1000000115,1078,51.0,Correo Argentino,2024-02-20 00:47:44,2024-02-22 00:47:44
9000000116,1000000116,1091,184.0,Correo Argentino,2024-07-02 10:24:47,2024-07-05 10:24:47
9000000117,1000000117,524,386.0,Correo Argentino,2025-01-20 22:11:52,2025-01-23 22:11:52
9000000118,1000000118,1229,595.0,Correo Argentino,2025-08-17 15:04:32,2025-08-19 15:04:32
9000000119,1000000119,458,563.0,PICKUP,2025-07-16 11:54:38,2025-07-17 11:54:38
9000000120,1000000120,68,110.0,Correo Argentino,2024-04-19 21:41:14,2024-04-21 21:41:14
9000000121,1000000121,959,355.0,PICKUP,2024-12-20 05:03:44,2024-12-21 05:03:44
9000000122,1000000122,356,608.0,PICKUP,2025-08-30 14:57:49,2025-08-31 14:57:49
9000000123,1000000123,530,,Correo Argentino,,
9000000124,1000000124,1420,38.0,Correo Argentino,2024-02-07 12:15:32,2024-02-11 12:15:32
9000000125,1000000125,279,191.0,PICKUP,2024-07-09 08:16:06,2024-07-10 08:16:06
9000000126,1000000126,779,164.0,PICKUP,2024-06-12 02:24:10,2024-06-13 02:24:10
9000000127,1000000127,1383,60.0,Correo Argentino,2024-02-29 13:19:21,2024-03-04 13:19:21
9000000128,1000000128,1189,,Correo Argentino,,
9000000129,1000000129,1016,627.0,Correo Argentino,2025-09-18 22:24:46,2025-09-21 22:24:46
9000000130,1000000130,595,507.0,PICKUP,2025-05-21 02:27:57,2025-05-22 02:27:57
9000000131,1000000131,902,25.0,PICKUP,2024-01-25 03:24:41,2024-01-26 03:24:41
9000000132,1000000132,317,209.0,Correo Argentino,2024-07-27 17:23:51,2024-08-01 17:23:51
9000000133,1000000133,1229,166.0,PICKUP,2024-06-14 15:46:34,2024-06-15 15:46:34
9000000134,1000000134,279,6.0,PICKUP,2024-01-06 02:05:46,2024-01-07 02:05:46
9000000135,1000000135,1498,151.0,PICKUP,2024-05-30 07:35:31,2024-05-31 07:35:31
9000000136,1000000136,140,387.0,Correo Argentino,2025-01-21 19:30:04,2025-01-25 19:30:04
9000000137,1000000137,1115,321.0,Correo Argentino,2024-11-16 23:46:06,2024-11-21 23:46:06
9000000138,1000000138,1240,4.0,Correo Argentino,2024-01-04 08:23:39,2024-01-08 08:23:39
9000000139,1000000139,590,98.0,Correo Argentino,2024-04-07 23:11:09,2024-04-12 23:11:09
9000000140,1000000140,645,414.0,PICKUP,2025-02-17 21:56:48,2025-02-18 21:56:48
9000000141,1000000141,545,335.0,PICKUP,2024-11-30 21:24:24,2024-12-01 21:24:24
9000000142,1000000142,1208,543.0,Correo Argentino,2025-06-26 13:32:09,2025-06-28 13:32:09
9000000143,1000000143,551,158.0,PICKUP,2024-06-06 00:59:40,2024-06-07 00:59:40
9000000144,1000000144,569,,PICKUP,,
9000000145,1000000145,1305,567.0,Correo Argentino,2025-07-20 14:47:44,2025-07-24 14:47:44
9000000146,1000000146,280,127.0,Correo Argentino,2024-05-06 01:52:36,2024-05-11 01:52:36
9000000147,1000000147,1338,343.0,Correo Argentino,2024-12-08 21:23:08,2024-12-13 21:23:08
9000000148,1000000148,84,539.0,Correo Argentino,2025-06-22 18:11:01,2025-06-25 18:11:01
9000000149,1000000149,655,388.0,Correo Argentino,2025-01-22 22:14:19,2025-01-27 22:14:19
9000000150,1000000150,513,516.0,PICKUP,2025-05-30 23:20:50,2025-05-31 23:20:50
9000000151,1000000151,884,107.0,PICKUP,2024-04-16 17:06:04,2024-04-17 17:06:04
9000000152,1000000152,385,8.0,PICKUP,2024-01-08 00:18:03,2024-01-09 00:18:03
9000000153,1000000153,723,,PICKUP,,
9000000154,1000000154,110,183.0,PICKUP,2024-07-01 13:02:42,2024-07-02 13:02:42
9000000155,1000000155,1197,44.0,Correo Argentino,2024-02-13 00:38:46,2024-02-17 00:38:46
9000000156,1000000156,833,303.0,PICKUP,2024-10-29 15:18:07,2024-10-30 15:18:07
9000000157,1000000157,371,,PICKUP,,
9000000158,1000000158,905,115.0,PICKUP,2024-04-24 23:37:56,2024-04-25 23:37:56
9000000159,1000000159,389,197.0,Correo Argentino,2024-07-15 06:58:24,2024-07-20 06:58:24
9000000160,1000000160,1299,165.0,PICKUP,2024-06-13 10:29:35,2024-06-14 10:29:35
9000000161,1000000161,725,296.0,Correo Argentino,2024-10-22 00:31:01,2024-10-26 00:31:01
9000000162,1000000162,645,578.0,PICKUP,2025-07-31 20:20:03,2025-08-01 20:20:03
9000000163,1000000163,584,56.0,Correo Argentino,2024-02-25 10:30:38,2024-02-29 10:30:38
9000000164,1000000164,436,420.0,Correo Argentino,2025-02-23 06:18:41,2025-02-25 06:18:41
9000000165,1000000165,293,606.0,Correo Argentino,2025-08-28 08:06:56,2025-09-01 08:06:56
9000000166,1000000166,1065,575.0,Correo Argentino,2025-07-28 20:39:32,2025-07-30 20:39:32
9000000167,1000000167,1234,,Correo Argentino,,
9000000168,1000000168,400,,Correo Argentino,,
9000000169,1000000169,251,191.0,Correo Argentino,2024-07-09 20:03:47,2024-07-14 20:03:47
9000000170,1000000170,764,89.0,PICKUP,2024-03-29 08:07:40,2024-03-30 08:07:40
9000000171,1000000171,1490,425.0,Correo Argentino,2025-02-28 13:25:36,2025-03-03 13:25:36
9000000172,1000000172,181,129.0,Correo Argentino,2024-05-08 09:39:45,2024-05-12 09:39:45
9000000173,1000000173,693,534.0,Correo Argentino,2025-06-17 15:40:09,2025-06-22 15:40:09
9000000174,1000000174,672,251.0,PICKUP,2024-09-07 01:13:23,2024-09-08 01:13:23
9000000175,1000000175,786,153.0,Correo Argentino,2024-06-01 19:23:40,2024-06-04 19:23:40
9000000176,1000000176,1347,422.0,PICKUP,2025-02-25 07:13:53,2025-02-26 07:13:53
9000000177,1000000177,628,329.0,Correo Argentino,2024-11-24 21:44:13,2024-11-27 21:44:13
9000000178,1000000178,1485,489.0,PICKUP,2025-05-03 06:20:13,2025-05-04 06:20:13
9000000179,1000000179,805,591.0,Correo Argentino,2025-08-13 08:58:40,2025-08-16 08:58:40
9000000180,1000000180,445,143.0,Correo Argentino,2024-05-22 07:44:42,2024-05-24 07:44:42
9000000181,1000000181,560,318.0,Correo Argentino,2024-11-13 19:15:20,2024-11-15 19:15:20
9000000182,1000000182,403,253.0,Correo Argentino,2024-09-09 21:03:06,2024-09-16 21:03:06
9000000183,1000000183,693,300.0,PICKUP,2024-10-26 15:02:26,2024-10-27 15:02:26
9000000184,1000000184,274,497.0,PICKUP,2025-05-11 05:25:54,2025-05-12 05:25:54
9000000185,1000000185,804,201.0,Correo Argentino,2024-07-19 22:03:50,2024-07-24 22:03:50
9000000186,1000000186,1495,213.0,Correo Argentino,2024-07-31 17:31:33,2024-08-02 17:31:33
9000000187,1000000187,48,409.0,PICKUP,2025-02-12 20:45:02,2025-02-13 20:45:02
9000000188,1000000188,661,601.0,PICKUP,2025-08-23 17:59:12,2025-08-24 17:59:12
9000000189,1000000189,984,124.0,Correo Argentino,2024-05-03 13:34:34,2024-05-05 13:34:34
9000000190,1000000190,1384,158.0,Correo Argentino,2024-06-06 16:15:54,2024-06-11 16:15:54
9000000191,1000000191,788,,Correo Argentino,,
9000000192,1000000192,456,68.0,PICKUP,2024-03-08 16:48:50,2024-03-09 16:48:50
9000000193,1000000193,427,47.0,Correo Argentino,2024-02-16 04:24:55,2024-02-19 04:24:55
9000000194,1000000194,866,623.0,Correo Argentino,2025-09-14 14:18:48,2025-09-19 14:18:48
9000000195,1000000195,371,426.0,Correo Argentino,2025-03-01 05:52:06,2025-03-05 05:52:06
9000000196,1000000196,1000,593.0,Correo Argentino,2025-08-15 22:25:58,2025-08-17 22:25:58
9000000197,1000000197,1404,101.0,Correo Argentino,2024-04-10 00:49:19,2024-04-12 00:49:19
9000000198,1000000198,1159,35.0,Correo Argentino,2024-02-04 12:21:07,2024-02-07 12:21:07
9000000199,1000000199,1040,445.0,Correo Argentino,2025-03-20 13:29:11,2025-03-25 13:29:11
9000000200,1000000200,464,270.0,Correo Argentino,2024-09-26 16:00:56,2024-09-29 16:00:56
9000000201,1000000201,166,322.0,Correo Argentino,2024-11-17 21:49:12,2024-11-20 21:49:12
9000000202,1000000202,1056,452.0,PICKUP,2025-03-27 16:10:42,2025-03-28 16:10:42
9000000203,1000000203,925,322.0,PICKUP,2024-11-17 23:47:20,2024-11-18 23:47:20
9000000204,1000000204,488,,Correo Argentino,,
9000000205,1000000205,903,275.0,Correo Argentino,2024-10-01 10:39:53,2024-10-05 10:39:53
9000000206,1000000206,70,574.0,Correo Argentino,2025-07-27 06:57:55,2025-07-31 06:57:55
9000000207,1000000207,1459,494.0,Correo Argentino,2025-05-08 08:30:13,2025-05-10 08:30:13
9000000208,1000000208,500,467.0,PICKUP,2025-04-11 20:08:06,2025-04-12 20:08:06
9000000209,1000000209,361,460.0,Correo Argentino,2025-04-04 02:36:42,2025-04-06 02:36:42
9000000210,1000000210,476,446.0,Correo Argentino,2025-03-21 15:20:10,2025-03-23 15:20:10
9000000211,1000000211,1400,566.0,PICKUP,2025-07-19 23:54:49,2025-07-20 23:54:49
9000000212,1000000212,945,416.0,Correo Argentino,2025-02-19 13:52:44,2025-02-23 13:52:44
9000000213,1000000213,1443,108.0,Correo Argentino,2024-04-17 02:19:09,2024-04-20 02:19:09
9000000214,1000000214,1430,202.0,Correo Argentino,2024-07-20 23:42:13,2024-07-22 23:42:13
9000000215,1000000215,1330,30.0,Correo Argentino,2024-01-30 19:10:09,2024-02-03 19:10:09
9000000216,1000000216,274,497.0,Correo Argentino,2025-05-11 12:35:04,2025-05-16 12:35:04
9000000217,1000000217,1251,96.0,PICKUP,2024-04-05 10:08:16,2024-04-06 10:08:16
9000000218,1000000218,176,187.0,Correo Argentino,2024-07-05 15:57:47,2024-07-09 15:57:47
9000000219,1000000219,42,164.0,PICKUP,2024-06-12 19:28:12,2024-06-13 19:28:12
9000000220,1000000220,582,631.0,Correo Argentino,2025-09-22 02:23:58,2025-09-26 02:23:58
9000000221,1000000221,4,493.0,PICKUP,2025-05-07 07:54:39,2025-05-08 07:54:39
9000000222,1000000222,569,243.0,PICKUP,2024-08-30 13:00:53,2024-08-31 13:00:53
9000000223,1000000223,157,359.0,PICKUP,2024-12-24 00:04:43,2024-12-25 00:04:43
9000000224,1000000224,649,448.0,Correo Argentino,2025-03-23 13:07:04,2025-03-25 13:07:04
9000000225,1000000225,1230,584.0,Correo Argentino,2025-08-06 09:56:58,2025-08-10 09:56:58
9000000226,1000000226,197,199.0,Correo Argentino,2024-07-17 19:12:34,2024-07-22 19:12:34
9000000227,1000000227,731,200.0,Correo Argentino,2024-07-18 23:54:57,2024-07-20 23:54:57
9000000228,1000000228,506,453.0,Correo Argentino,2025-03-28 04:05:29,2025-04-01 04:05:29
9000000229,1000000229,751,,PICKUP,,
9000000230,1000000230,485,365.0,Correo Argentino,2024-12-30 11:56:27,2025-01-04 11:56:27
9000000231,1000000231,823,161.0,Correo Argentino,2024-06-09 16:32:56,2024-06-11 16:32:56
9000000232,1000000232,680,419.0,Correo Argentino,2025-02-22 21:34:52,2025-02-26 21:34:52
9000000233,1000000233,417,325.0,Correo Argentino,2024-11-20 08:54:06,2024-11-22 08:54:06
9000000234,1000000234,677,515.0,Correo Argentino,2025-05-29 23:24:47,2025-06-03 23:24:47
9000000235,1000000235,1327,,PICKUP,,
9000000236,1000000236,593,370.0,PICKUP,2025-01-04 07:17:21,2025-01-05 07:17:21
9000000237,1000000237,606,319.0,PICKUP,2024-11-14 19:03:35,2024-11-15 19:03:35
9000000238,1000000238,137,447.0,PICKUP,2025-03-22 06:27:32,2025-03-23 06:27:32
9000000239,1000000239,487,52.0,Correo Argentino,2024-02-21 05:28:37,2024-02-26 05:28:37
9000000240,1000000240,909,295.0,Correo Argentino,2024-10-21 17:29:14,2024-10-26 17:29:14
9000000241,1000000241,179,285.0,PICKUP,2024-10-11 10:32:46,2024-10-12 10:32:46
9000000242,1000000242,183,,Correo Argentino,,
9000000243,1000000243,536,526.0,Correo Argentino,2025-06-09 09:40:04,2025-06-13 09:40:04
9000000244,1000000244,1341,257.0,PICKUP,2024-09-13 02:03:43,2024-09-14 02:03:43
9000000245,1000000245,378,494.0,PICKUP,2025-05-08 00:51:09,2025-05-09 00:51:09
9000000246,1000000246,548,,Correo Argentino,,
9000000247,1000000247,757,338.0,Correo Argentino,2024-12-03 02:46:27,2024-12-08 02:46:27
9000000248,1000000248,522,300.0,PICKUP,2024-10-26 11:08:17,2024-10-27 11:08:17
9000000249,1000000249,1384,110.0,PICKUP,2024-04-19 07:55:19,2024-04-20 07:55:19
9000000250,1000000250,473,266.0,Correo Argentino,2024-09-22 10:33:48,2024-09-26 10:33:48
9000000251,1000000251,1316,75.0,PICKUP,2024-03-15 03:55:16,2024-03-16 03:55:16
9000000252,1000000252,1356,62.0,PICKUP,2024-03-02 17:29:06,2024-03-03 17:29:06
9000000253,1000000253,266,480.0,Correo Argentino,2025-04-24 10:25:30,2025-04-29 10:25:30
9000000254,1000000254,1359,287.0,PICKUP,2024-10-13 05:27:13,2024-10-14 05:27:13
9000000255,1000000255,843,227.0,Correo Argentino,2024-08-14 02:28:16,2024-08-18 02:28:16
9000000256,1000000256,599,276.0,Correo Argentino,2024-10-02 05:52:27,2024-10-06 05:52:27
9000000257,1000000257,1048,516.0,PICKUP,2025-05-30 14:07:49,2025-05-31 14:07:49
9000000258,1000000258,319,362.0,Correo Argentino,2024-12-27 23:32:30,2024-12-29 23:32:30
9000000259,1000000259,846,614.0,Correo Argentino,2025-09-05 10:28:53,2025-09-08 10:28:53
9000000260,1000000260,1491,348.0,Correo Argentino,2024-12-13 00:31:19,2024-12-16 00:31:19
9000000261,1000000261,79,593.0,Correo Argentino,2025-08-15 21:42:26,2025-08-17 21:42:26
9000000262,1000000262,748,324.0,Correo Argentino,2024-11-19 19:38:35,2024-11-24 19:38:35
9000000263,1000000263,537,367.0,Correo Argentino,2025-01-01 19:25:31,2025-01-04 19:25:31
9000000264,1000000264,303,597.0,PICKUP,2025-08-19 08:26:01,2025-08-20 08:26:01
9000000265,1000000265,1065,119.0,Correo Argentino,2024-04-28 04:48:14,2024-05-03 04:48:14
9000000266,1000000266,606,494.0,Correo Argentino,2025-05-08 10:36:52,2025-05-10 10:36:52
9000000267,1000000267,553,61.0,Correo Argentino,2024-03-01 01:23:56,2024-03-05 01:23:56
9000000268,1000000268,656,,Correo Argentino,,
9000000269,1000000269,786,,Correo Argentino,,
9000000270,1000000270,663,47.0,PICKUP,2024-02-16 09:33:22,2024-02-17 09:33:22
9000000271,1000000271,833,44.0,Correo Argentino,2024-02-13 23:19:32,2024-02-18 23:19:32
9000000272,1000000272,844,300.0,Correo Argentino,2024-10-26 21:34:38,2024-10-31 21:34:38
9000000273,1000000273,720,62.0,Correo Argentino,2024-03-02 21:39:25,2024-03-04 21:39:25
9000000274,1000000274,169,272.0,PICKUP,2024-09-28 05:34:23,2024-09-29 05:34:23
9000000275,1000000275,969,174.0,Correo Argentino,2024-06-22 23:19:57,2024-06-26 23:19:57
9000000276,1000000276,268,512.0,PICKUP,2025-05-26 19:31:40,2025-05-27 19:31:40
9000000277,1000000277,122,288.0,PICKUP,2024-10-14 06:28:37,2024-10-15 06:28:37
9000000278,1000000278,617,430.0,Correo Argentino,2025-03-05 17:56:56,2025-03-10 17:56:56
9000000279,1000000279,608,,Correo Argentino,,
9000000280,1000000280,732,202.0,PICKUP,2024-07-20 19:57:11,2024-07-21 19:57:11
9000000281,1000000281,211,437.0,Correo Argentino,2025-03-12 16:52:34,2025-03-16 16:52:34
9000000282,1000000282,475,364.0,Correo Argentino,2024-12-29 03:28:46,2025-01-01 03:28:46
9000000283,1000000283,949,569.0,Correo Argentino,2025-07-22 05:39:50,2025-07-26 05:39:50
9000000284,1000000284,426,69.0,PICKUP,2024-03-09 13:44:42,2024-03-10 13:44:42
9000000285,1000000285,386,,Correo Argentino,,
9000000286,1000000286,500,194.0,Correo Argentino,2024-07-12 04:57:19,2024-07-15 04:57:19
9000000287,1000000287,677,534.0,PICKUP,2025-06-17 09:51:10,2025-06-18 09:51:10
9000000288,1000000288,33,398.0,PICKUP,2025-02-01 18:03:56,2025-02-02 18:03:56
9000000289,1000000289,194,,Correo Argentino,,
9000000290,1000000290,78,310.0,Correo Argentino,2024-11-05 11:56:09,2024-11-09 11:56:09
9000000291,1000000291,102,292.0,Correo Argentino,2024-10-18 15:01:08,2024-10-24 15:01:08
9000000292,1000000292,1072,485.0,PICKUP,2025-04-29 10:38:07,2025-04-30 10:38:07
9000000293,1000000293,754,600.0,Correo Argentino,2025-08-22 17:47:42,2025-08-26 17:47:42
9000000294,1000000294,195,,Correo Argentino,,
9000000295,1000000295,862,452.0,PICKUP,2025-03-27 00:46:52,2025-03-28 00:46:52
9000000296,1000000296,240,180.0,PICKUP,2024-06-28 12:04:05,2024-06-29 12:04:05
